                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.7335,                 7.5565,                0.61275,                  1.921,                 2.2017,                0.57828,                0.52545,                0.56346,                0.27915,                0.05556,                 0.1028,                0.01371,                0.00332,                 2.7776,                 8.2412,                0.69951,                 2.1875,                 4.2339,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.7431,                 7.3247,                0.61442,                 1.8388,                 2.1948,                0.57191,                0.41121,                0.48659,                0.20746,                0.05412,                0.11215,                0.01154,                0.00212,                 3.2138,                 8.3172,                0.69287,                 2.3228,                 4.4435,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6948,                  7.195,                0.59781,                 1.7609,                 2.1536,                 0.5652,                0.53455,                0.55164,                0.25839,                0.05115,                0.04673,                 0.0077,                0.00229,                 2.7645,                  8.002,                0.66689,                 2.2255,                 4.1475,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6865,                 7.0389,                0.59187,                  1.755,                 2.1487,                0.56419,                0.57944,                0.59895,                0.28484,                0.06611,                0.07477,                0.01853,                0.00383,                 2.7473,                 8.1017,                0.68329,                 2.0104,                 4.1355,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.757,                 7.4804,                0.60173,                 1.7893,                 2.1595,                0.47476,                0.47664,                0.42687,                0.20369,                0.10838,                0.05607,                0.01756,                0.00403,                 2.7904,                 8.1829,                0.69752,                 2.6177,                 4.0566,               0.001505,               0.001505,               0.001505
                     27,                 1.6862,                 7.2683,                0.60292,                 1.7762,                 2.1088,                0.46709,                0.43417,                0.51471,                0.20853,                0.11674,                0.07477,                0.01863,                 0.0039,                 2.7751,                 7.9512,                0.67382,                 2.2566,                 3.9803,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.6722,                  7.039,                0.59242,                 1.7256,                 2.1039,                0.56805,                0.49164,                0.56913,                0.26776,                0.08587,                0.07477,                0.01433,                0.00324,                 2.8079,                 7.8846,                0.67835,                 2.0537,                 4.0406,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.7081,                   7.07,                0.59037,                 1.6964,                 2.1297,                0.52141,                0.57009,                0.56094,                0.27648,                0.08338,                0.09346,                 0.0162,                0.00348,                 2.7854,                 7.6871,                0.64224,                 2.3017,                 4.1943,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.6949,                 7.1498,                0.59301,                 1.7005,                 2.1331,                0.45439,                0.53271,                0.52539,                0.24284,                0.02977,                0.04673,                0.00674,                0.00169,                 2.9275,                 8.0665,                0.64853,                 2.1536,                 4.2347,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.6242,                 7.1012,                0.58846,                 1.6427,                 2.0583,                0.64111,                0.47664,                0.54161,                0.27531,                0.03421,                0.06542,                0.00756,                 0.0022,                 2.7013,                 8.0188,                0.68439,                 2.0503,                 4.0344,               0.001406,               0.001406,               0.001406
                     32,                 1.6627,                 7.0278,                0.58305,                 1.6452,                 2.0789,                0.57817,                0.57009,                0.55216,                0.28879,                0.07318,                0.08411,                0.01476,                0.00323,                 2.6408,                 7.8336,                0.65354,                 1.8766,                 3.9584,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.6764,                 6.7348,                0.57127,                 1.6823,                  2.093,                0.65493,                 0.5514,                0.65077,                0.32846,                0.05798,                0.08411,                0.01413,                0.00345,                 2.7395,                 7.7831,                0.65962,                 1.8984,                 3.9964,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.6569,                 6.7359,                0.57164,                 1.7112,                 2.1176,                0.57341,                0.59813,                 0.6554,                0.36853,                0.05013,                 0.1028,                0.01261,                0.00336,                 2.6389,                 7.7421,                0.64903,                 1.7538,                 3.7041,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6044,                 7.1085,                0.57819,                 1.6179,                 2.0377,                0.73616,                0.59813,                0.67389,                0.34458,                0.03969,                 0.1028,                0.01499,                0.00418,                 2.7266,                 7.7254,                0.64459,                 1.6374,                 3.7098,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6118,                 6.7756,                0.56915,                 1.5792,                 2.0377,                0.66679,                0.53271,                0.63714,                0.33748,                0.07314,                 0.1028,                0.01494,                0.00352,                 2.7134,                  7.636,                0.64211,                  1.668,                 4.0114,               0.001307,               0.001307,               0.001307
                     37,                 1.6072,                 6.9597,                0.57189,                 1.5372,                 2.0335,                0.62974,                0.59813,                0.67688,                0.34543,                0.03802,                0.09346,                0.01009,                0.00273,                 2.6789,                 7.9988,                0.64122,                 1.5998,                 4.3013,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5861,                  6.859,                0.57192,                 1.5579,                 2.0146,                0.61638,                0.57944,                0.64505,                0.34512,                0.05637,                0.11215,                 0.0181,                0.00414,                 2.7392,                 7.9139,                0.64627,                 1.8186,                 4.6485,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5537,                 6.8834,                0.58025,                 1.5309,                 2.0164,                0.57361,                0.61682,                0.64853,                0.33205,                0.04951,                0.08411,                0.01135,                0.00335,                 2.5955,                 7.8899,                0.65342,                  1.663,                 3.7751,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6405,                 6.8919,                0.56972,                 1.5178,                 2.0472,                0.69454,                0.53127,                 0.6369,                0.29561,                0.03362,                0.07477,                0.01594,                0.00528,                 2.7729,                 8.0228,                0.64917,                 1.6601,                 3.9837,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5514,                 6.8167,                0.56029,                 1.5318,                 1.9997,                0.60118,                0.61987,                0.66179,                0.35948,                0.05066,                0.09346,                0.01674,                0.00491,                 2.5349,                 7.6588,                 0.6432,                 1.7847,                 3.8366,               0.001208,               0.001208,               0.001208
                     42,                 1.5781,                 6.6594,                0.57305,                 1.5441,                 2.0163,                0.64282,                0.62617,                0.67964,                0.38769,                0.10259,                0.13084,                0.02784,                0.00617,                 2.5671,                 7.6114,                0.64586,                  1.668,                 3.8371,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5583,                  6.563,                0.56697,                 1.4532,                 1.9883,                0.66656,                0.70996,                0.71485,                0.41275,                0.08928,                0.14019,                0.02377,                0.00554,                 2.5344,                 7.5247,                 0.6197,                 1.5634,                 3.8404,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5499,                 6.5224,                0.55344,                 1.4655,                 1.9962,                0.66886,                0.60748,                0.66861,                0.38992,                 0.0737,                0.08411,                0.01596,                0.00442,                 2.5788,                 7.9219,                0.64165,                 1.7117,                 3.6793,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5408,                 6.7379,                0.56072,                 1.4409,                 1.9638,                0.73008,                0.63199,                0.70174,                0.37394,                0.09497,                0.15888,                0.02429,                0.00642,                 2.6724,                  7.552,                 0.6598,                 1.8765,                   3.79,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5598,                  6.549,                0.56832,                 1.4311,                 1.9713,                0.60621,                0.65421,                0.70551,                0.40388,                0.06201,                0.15888,                0.02088,                0.00478,                 2.5436,                 7.3274,                0.62376,                 1.7101,                 3.7524,               0.001109,               0.001109,               0.001109
                     47,                 1.5272,                 6.4277,                0.55672,                 1.4055,                 1.9596,                0.70687,                0.67613,                0.74693,                0.41102,                0.12566,                0.09346,                0.01927,                0.00481,                 2.5356,                 7.4969,                0.64039,                 1.4783,                 3.8393,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5239,                 6.3065,                 0.5392,                 1.3906,                 1.9623,                0.67729,                0.61682,                0.70589,                0.39237,                0.09797,                 0.1482,                 0.0263,                0.00543,                 2.6378,                 7.4467,                0.63216,                 1.6636,                 4.1201,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4761,                 6.3668,                 0.5665,                 1.3615,                 1.9389,                0.72055,                0.65065,                0.72212,                0.39684,                0.10459,                0.11215,                 0.0197,                 0.0042,                 2.6142,                 7.3917,                0.62456,                 1.7152,                 3.8419,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5716,                 6.4431,                0.56977,                 1.4142,                 1.9722,                0.71726,                0.62617,                0.67908,                0.39988,                 0.1188,                0.06542,                0.01725,                0.00439,                 2.5065,                 7.4126,                0.64683,                 1.5351,                 3.6757,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4829,                 6.3648,                0.55727,                 1.4044,                 1.9419,                0.70042,                0.62617,                  0.711,                 0.3978,                0.13716,                0.09346,                0.02512,                0.00726,                 2.4254,                 7.3438,                0.62243,                 1.4687,                 3.7862,                0.00101,                0.00101,                0.00101
                     52,                  1.498,                  6.586,                 0.5737,                 1.3856,                 1.9447,                0.75659,                0.63551,                0.67474,                 0.3705,                0.07636,                 0.1028,                0.02526,                0.00576,                 2.6739,                 7.3524,                0.62658,                 1.5002,                 4.1233,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5173,                 6.4785,                 0.5587,                 1.3378,                 1.9358,                0.69101,                0.62617,                 0.7194,                0.42887,                 0.1094,                 0.1028,                0.02156,                 0.0051,                 2.5412,                 7.2126,                0.62732,                 1.4548,                 3.8548,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4976,                 6.4381,                0.55241,                 1.3778,                 1.9316,                0.77246,                0.60748,                0.70548,                0.42339,                0.12898,                0.13084,                0.03035,                0.00752,                 2.3941,                 7.2239,                 0.6495,                 1.5985,                 3.6758,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4324,                 6.2946,                0.56681,                 1.3154,                 1.8783,                0.75044,                0.57944,                0.69402,                0.39776,                0.08522,                 0.1028,                0.01915,                0.00563,                  2.555,                 7.4183,                0.63896,                 1.7103,                 3.8143,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4954,                 6.1438,                0.53858,                 1.3451,                 1.9423,                 0.6372,                0.60734,                0.67217,                0.40103,                0.09268,                0.08411,                0.02885,                0.00731,                 2.4729,                 7.3441,                0.64657,                  1.566,                  3.694,               0.000911,               0.000911,               0.000911
                     57,                 1.4349,                 6.3591,                0.55589,                 1.2977,                 1.8863,                  0.749,                0.66935,                0.73231,                0.42519,                0.07743,                0.13084,                0.02452,                0.00503,                 2.4966,                 7.1582,                0.61236,                  1.503,                 3.8292,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4663,                  6.406,                 0.5626,                 1.2995,                 1.8993,                0.76689,                0.61493,                0.74128,                0.45321,                0.11189,                0.14953,                0.03118,                0.00621,                 2.3936,                 7.3603,                0.62435,                 1.4105,                 3.7596,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4649,                  6.285,                0.54727,                 1.3003,                 1.9334,                0.73223,                0.60748,                 0.7386,                0.44962,                0.09971,                0.08411,                0.02417,                0.00545,                 2.4911,                 7.3643,                0.61781,                 1.4709,                   3.96,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4924,                 5.9987,                0.53326,                  1.341,                 1.9347,                0.73296,                0.71028,                0.75361,                0.43657,                0.11635,                0.14019,                0.03589,                0.00927,                 2.4073,                 7.0716,                0.62712,                 1.4094,                 3.8393,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4445,                 6.0492,                0.55854,                 1.2553,                 1.8787,                0.76845,                0.62036,                0.74156,                 0.4412,                0.11559,                0.14953,                0.03543,                0.00917,                 2.4582,                 7.1741,                0.61658,                 1.4238,                 3.8785,               0.000812,               0.000812,               0.000812
                     62,                 1.4405,                 5.9424,                0.54605,                 1.2705,                 1.8822,                0.70838,                0.63551,                0.70117,                0.42035,                0.12869,                0.13084,                0.04128,                0.00997,                 2.4187,                 7.1629,                0.65679,                 1.4074,                 3.6002,              0.0007922,              0.0007922,              0.0007922
